Root	root
Archaea	Archaea
Eubacteria	Bacteria
Amphibia	Amphibia
CeChr	Cephalochordata
fish	unidentified
Aves	Aves
reptil	unidentified
CrNe	Cryptococcus neoformans
TeNi	Tetraodon nigroviridis
DaRe	Danio rerio
GaGa	Gallus gallus
HoSa	Homo sapiens
PlCh_1	Plasmodium chabaudi
MuMu	Mus musculus
ArTh	Arabidopsis thaliana
ScJa	Schistosoma japonicum
CaFa	Canis lupus familiaris
EnCu_1	Encephalitozoon cuniculi
DeHa_1	Debaryomyces hansenii
PaTr	Pan troglodytes
YaLi_1	Yarrowia lipolytica
PlYo_1	Plasmodium yoelii yoelii
CaBr	Caenorhabditis briggsae
DrMe	Drosophila melanogaster
ErGo	Eremothecium gossypii
NeCr_1	Neurospora crassa
XeLa	Xenopus laevis
CaEl	Caenorhabditis elegans
TrCr	Trypanosoma cruzi
SaCe_12	Saccharomyces cerevisiae
DrPs	Drosophila pseudoobscura
OrSa_2	Oryza sativa
DiDi_1	Dictyostelium discoideum
EnHi_1	Entamoeba histolytica
PoPy	Pongo pygmaeus
MaMu	Macaca mulatta
TaRu	Takifugu rubripes
PlBe_1	Plasmodium berghei
EsCo_2	Escherichia coli
ScPo	Schizosaccharomyces pombe
GoBa	Gossypium barbadense
KlLa_1	Kluyveromyces lactis
FiSu_1	Fibrobacter succinogenes
CrHo_1	Cryptosporidium hominis
LiPo	Limulus polyphemus
OrCu	Oryctolagus cuniculus
CaGl_1	Nakaseomyces glabratus
CrPa_1	Cryptosporidium parvum
MaGr_1	Pyricularia grisea
XeTr	Xenopus tropicalis
MaFa	Macaca fascicularis
ApMe	Apis mellifera
LeMa_1	Leishmania major
StPu	Strongylocentrotus purpuratus
PhPr_2	Photobacterium profundum
RaNo_2	Rattus sp.
LaJa	Lateolabrax japonicus
AgBi_1	Agaricus bisporus
TrBr_1	Trypanosoma brucei
LeMd	Leucophaea maderae
NiTa	Nicotiana tabacum
HeBr	Hevea brasiliensis
PsSy_1	Pseudomonas syringae
LySt	Lymnaea stagnalis
BoTa	Bos taurus
RhRu_1	Rhodospirillum rubrum
HiMe	Hirudo medicinalis
TaGu	Taeniopygia guttata
BoMo	Bombyx mori
AnMaj	Antirrhinum majus
Pi	Pirellula sp.
HaRo	Halocynthia roretzi
LoPe	Loligo pealei
PoAn	Podospora anserina
Ma	Magnetococcus marinus MC-1
AcPoMiVi	Acanthamoeba polyphaga mimivirus
ScMa	Schistosoma mansoni
OvAr	Ovis aries
PaTe_1	Paramecium tetraurelia
TrMo	Triticum monococcum
GlMa	Glycine max
AsNg	Aspergillus niger
PoYe	Neopyropia yezoensis
CuPi	Culex pipiens
PrCl	Procambarus clarkii
AsFu	Aspergillus fumigatus
OnMy	Oncorhynchus mykiss
AePu	Aeromonas caviae
CaAn	Capsicum annuum
TrRe	Trichoderma reesei
AnLo	Antonospora locustae
PyPy	Pyrus pyrifolia
AsPa	Aspergillus parasiticus
CiAr	Cicer arietinum
AsOr	Aspergillus oryzae
CoCo	Coturnix coturnix
CaMae	Carcinus maenas
PhSo	Phytophthora sojae
PhIn_1	Phytophthora infestans
ChRe	Chlamydomonas reinhardtii
PsAe_2	Pseudomonas aeruginosa
TrVa_1	Trichomonas vaginalis
CrGr	Cricetulus griseus
OiDi	Oikopleura dioica
DrYa	Drosophila yakuba
SuSc	Sus scrofa
OrAn	Ornithorhynchus anatinus
AsNi_1	Aspergillus nidulans
UsMa_1	Ustilago maydis
CaAl_1	Candida albicans
PiAn_1	Pichia angusta
ApCa	Aplysia californica
ThAn_1	Theileria annulata
CaRe	Caenorhabditis remanei
CaAu	Carassius auratus
CyPy	Cynops pyrrhogaster
EmHuVi	Emiliania huxleyi virus 86
IpBa	Ipomoea batatas
IxSc	Ixodes scapularis
LyVa	Lytechinus variegatus
ScMx	Scophthalmus maximus
SoTu	Solanum tuberosum
ThPa_1	Theileria parva
ToMa	Torpedo marmorata
CiIn	Ciona intestinalis
AnGa_1	Anopheles gambiae
BrJa_1	Bradyrhizobium japonicum
BrRa_1	Brassica rapa
ClAc	Clostridium acetobutylicum
DePs_1	Desulfotalea psychrophila
GiZe_2	Fusarium graminearum
HoVu_1	Hordeum vulgare
MaMa_1	Paramagnetospirillum magnetotacticum
MyHy_1	Mesomycoplasma hyopneumoniae
PlFa_2	Plasmodium falciparum
RhBa_1	Rhodopirellula baltica
RhPa_2	Rhodopseudomonas palustris
ShOn_1	Shewanella oneidensis
SyTh_1	Symbiobacterium thermophilum
ViCh_2	Vibrio cholerae
ViFi_1	Aliivibrio fischeri
ViVu_2	Vibrio vulnificus
GiIn_5	Giardia
ChGl_1	Chaetomium globosum
CoIm_1	Coccidioides immitis
EuCr	Moneuplotes crassus
ThPs_1	Thalassiosira pseudonana
RhOr_1	Rhizopus arrhizus
TrCa	Tribolium castaneum
CyMe_1	Cyanidioschyzon merolae
AeAe	Aedes aegypti
TeTh	Tetrahymena thermophila
AsTe_1	Aspergillus terreus
ClLu_2	Clavispora lusitaniae
CoCi_2	Coprinopsis cinerea
FuVe_2	Fusarium verticillioides
LaBi_1	Laccaria bicolor
NeHa	Nectria haematococca
PiSt_1	Scheffersomyces stipitis
ScSc_2	Sclerotinia sclerotiorum
StNo	Parastagonospora nodorum
UnRe_1	Uncinocarpus reesii
PhCh	Phanerochaete chrysosporium
CtOr	Ctenophorus ornatus
MoTe	Molgula tectiformis
CiSa	Ciona savignyi
BrFl	Branchiostoma floridae
HyMa	Hydra magnipapillata
PaLi	Paracentrotus lividus
PeHu_1	Pediculus humanus
LuLo	Lutzomyia longipalpis
ChTe_1	Chironomus tentans
HoAm	Homarus americanus
HeGl	Heterodera glycines
StSt	Strongyloides stercoralis
ScMe	Schmidtea mediterranea
DuJa	Dugesia japonica
TrSp	Trichinella spiralis
AcPi	Acyrthosiphon pisum
GlMo_2	Glossina morsitans
HaCo	Haemonchus contortus
