
code	|	taxid	|	primary taxid	|	taxname
3	|	1
1	|	10239	|	10239	|	Viruses
1	|	2157	|	2157	|	Archaea
1	|	10239	|	10239	|	Viruses
1	|	33208	|	33208	|	Metazoa
1	|	6854	|	6854	|	Arachnida
1	|	6073	|	6073	|	Cnidaria
1	|	6101	|	6101	|	Anthozoa
1	|	50557	|	50557	|	Insecta
1	|	2	|	2	|	Bacteria
1	|	4751	|	4751	|	Fungi
1	|	5204	|	5204	|	Basidiomycota
1	|	7742	|	7742	|	Vertebrata
1	|	8292	|	8292	|	Amphibia
1	|	6231	|	6231	|	Nematoda
1	|	33090	|	33090	|	Viridiplantae
1	|	3398	|	3398	|	Magnoliopsida
1	|	32644	|	32644	|	unidentified
1	|	6029	|	6029	|	Microsporidia
1	|	6447	|	6447	|	Mollusca
1	|	4890	|	4890	|	Ascomycota
1	|	147538	|	147538	|	Pezizomycotina
1	|	7586	|	7586	|	Echinodermata
1	|	6448	|	6448	|	Gastropoda
1	|	40674	|	40674	|	Mammalia
1	|	7711	|	7711	|	Chordata
1	|	7735	|	7735	|	Cephalochordata
1	|	147537	|	147537	|	Saccharomycotina
1	|	32644	|	32644	|	unidentified
1	|	6657	|	6657	|	Crustacea
1	|	3041	|	3041	|	Chlorophyta
1	|	7712	|	7712	|	Tunicata
1	|	6157	|	6157	|	Platyhelminthes
1	|	8782	|	8782	|	Aves
1	|	33630	|	33630	|	Alveolata
1	|	5794	|	5794	|	Apicomplexa
1	|	32644	|	32644	|	unidentified
1	|	2763	|	2763	|	Rhodophyta
1	|	142796	|	142796	|	Eumycetozoa
1	|	33084	|	33084	|	Entamoebidae
1	|	115366	|	115366	|	Craniata
1	|	5738	|	5738	|	Diplomonadida
1	|	6340	|	6340	|	Annelida
1	|	6074	|	6074	|	Hydrozoa
1	|	88770	|	88770	|	Panarthropoda
1	|	42241	|	42241	|	Tardigrada
1	|	6933	|	6933	|	Acari
1	|	5653	|	5653	|	Kinetoplastea
1	|	6843	|	6843	|	Chelicerata
1	|	6605	|	6605	|	Cephalopoda
1	|	6855	|	6855	|	Scorpiones
1	|	28009	|	28009	|	Choanoflagellata
1	|	5752	|	5752	|	Heterolobosea
1	|	6040	|	6040	|	Porifera
1	|	33634	|	33634	|	Stramenopiles
1	|	451459	|	451459	|	Blastocladiomycota
1	|	147554	|	147554	|	Schizosaccharomycetes
1	|	5719	|	5719	|	Parabasalia
1	|	127916	|	127916	|	Ichthyosporea
1	|	451507	|	451507	|	Mucoromycotina
1	|	136087	|	136087	|	Malawimonadidae
1	|	8431	|	8431	|	Pelobatoidea
1	|	33511	|	33511	|	Deuterostomia
1	|	32644	|	32644	|	unidentified
1	|	32644	|	32644	|	unidentified
1	|	6656	|	6656	|	Arthropoda
1	|	190556	|	190556	|	Euchordodes
1	|	33213	|	33213	|	Bilateria
1	|	10226	|	10226	|	Placozoa
1	|	4761	|	4761	|	Chytridiomycota
1	|	452284	|	452284	|	Ustilaginomycotina
1	|	29000	|	29000	|	Pucciniomycotina
1	|	5302	|	5302	|	Agaricomycotina
1	|	32644	|	32644	|	unidentified
1	|	147550	|	147550	|	Sordariomycetes
1	|	147548	|	147548	|	Leotiomycetes
1	|	147541	|	147541	|	Dothideomycetes
1	|	147545	|	147545	|	Eurotiomycetes
1	|	33183	|	33183	|	Onygenales
1	|	5042	|	5042	|	Eurotiales
1	|	5475	|	5475	|	Candida
1	|	4930	|	4930	|	Saccharomyces
1	|	451455	|	451455	|	Neocallimastigomycetes
1	|	5207	|	5207	|	Cryptococcus neoformans
1	|	99883	|	99883	|	Tetraodon nigroviridis
1	|	7955	|	7955	|	Danio rerio
1	|	9031	|	9031	|	Gallus gallus
1	|	9606	|	9606	|	Homo sapiens
1	|	5825	|	5825	|	Plasmodium chabaudi
1	|	10090	|	10090	|	Mus musculus
1	|	3702	|	3702	|	Arabidopsis thaliana
1	|	6182	|	6182	|	Schistosoma japonicum
1	|	9615	|	9615	|	Canis lupus familiaris
1	|	6035	|	6035	|	Encephalitozoon cuniculi
1	|	4959	|	4959	|	Debaryomyces hansenii
1	|	9598	|	9598	|	Pan troglodytes
1	|	4952	|	4952	|	Yarrowia lipolytica
1	|	73239	|	73239	|	Plasmodium yoelii yoelii
1	|	6238	|	6238	|	Caenorhabditis briggsae
1	|	7227	|	7227	|	Drosophila melanogaster
1	|	33169	|	33169	|	Eremothecium gossypii
1	|	5141	|	5141	|	Neurospora crassa
1	|	8355	|	8355	|	Xenopus laevis
1	|	6239	|	6239	|	Caenorhabditis elegans
1	|	5693	|	5693	|	Trypanosoma cruzi
1	|	4932	|	4932	|	Saccharomyces cerevisiae
1	|	7237	|	7237	|	Drosophila pseudoobscura
1	|	4530	|	4530	|	Oryza sativa
1	|	44689	|	44689	|	Dictyostelium discoideum
1	|	5759	|	5759	|	Entamoeba histolytica
