ncbi_id,tracey_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10239,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2157,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33208,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6854,7,-,-,-,-,-,Arachnida,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6073,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6101,9,-,-,-,-,-,Anthozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50557,10,-,-,-,-,-,Insecta,-,-,-,-,-,-,-,Hexapoda,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4751,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5204,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dikarya,-,Basidiomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7742,15,-,-,-,-,-,-,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8292,16,-,-,-,-,-,Amphibia,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,-,-,-,-
6231,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nematoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33090,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3398,19,-,-,-,-,-,Magnoliopsida,-,-,-,-,-,-,-,Streptophytina,-,-,-,-,-,-,-,Streptophyta,-,-,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32644,18407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6029,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Microsporidia,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6447,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mollusca,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4890,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dikarya,-,Ascomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147538,24,-,-,-,-,-,-,-,-,-,-,-,-,-,Pezizomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7586,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Echinodermata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6448,26,-,-,-,-,-,Gastropoda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mollusca,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40674,27,-,-,-,-,-,Mammalia,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,-,-,-,-
7711,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7735,29,-,-,-,-,-,-,-,-,-,-,-,-,-,Cephalochordata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147537,30,-,-,-,-,-,-,-,-,-,-,-,-,-,Saccharomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6657,32,-,-,-,-,-,-,-,-,-,-,-,-,-,Crustacea,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3041,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chlorophyta,-,-,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7712,34,-,-,-,-,-,-,-,-,-,-,-,-,-,Tunicata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6157,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Platyhelminthes,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8782,36,-,-,-,-,-,Aves,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,-,-,-,-
33630,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
