ncbi_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6854,-,-,-,-,-,Arachnida,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6101,-,-,-,-,-,Anthozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50557,-,-,-,-,-,Insecta,-,-,-,-,-,-,-,Hexapoda,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dikarya,-,Basidiomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7742,-,-,-,-,-,-,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8292,-,-,-,-,-,Amphibia,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,-,-,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,-,-,-,-
6231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nematoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3398,-,-,-,-,-,Magnoliopsida,-,-,-,-,-,-,-,Streptophytina,-,-,-,-,-,-,-,Streptophyta,-,-,-,Viridiplantae,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Microsporidia,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mollusca,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dikarya,-,Ascomycota,-,-,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
